Store,Product,Date,Is_Holiday,Base Price,Price,Weekly_Units_Sold
1,1,2/5/2010,FALSE,9.99,7.99,245
1,1,2/12/2010,TRUE,9.99,7.99,453
1,1,2/19/2010,FALSE,9.99,7.99,409
1,1,2/26/2010,FALSE,9.99,7.99,191
1,1,3/5/2010,FALSE,9.99,9.99,145
1,1,3/12/2010,FALSE,9.99,9.99,140
1,1,3/19/2010,FALSE,9.99,9.99,147
1,1,3/26/2010,FALSE,9.99,9.99,175
1,1,4/2/2010,FALSE,9.99,9.99,382
1,1,4/9/2010,FALSE,9.99,9.99,287
1,1,4/16/2010,FALSE,9.99,9.99,117
1,1,4/23/2010,FALSE,9.99,9.99,107
1,1,4/30/2010,FALSE,9.99,9.99,111
1,1,5/7/2010,FALSE,9.99,7.99,171
1,1,5/14/2010,FALSE,9.99,7.99,186
1,1,5/21/2010,FALSE,9.99,7.99,145
1,1,5/28/2010,FALSE,9.99,7.99,153
1,1,6/4/2010,FALSE,9.99,9.99,117
1,1,6/11/2010,FALSE,9.99,9.99,111
1,1,6/18/2010,FALSE,9.99,9.99,108
1,1,6/25/2010,FALSE,9.99,9.99,109
1,1,7/2/2010,FALSE,9.99,9.99,109
1,1,7/9/2010,FALSE,9.99,9.99,118
1,1,7/16/2010,FALSE,9.99,9.99,115
1,1,7/23/2010,FALSE,9.99,9.99,103
1,1,7/30/2010,FALSE,9.99,9.99,103
1,1,8/6/2010,FALSE,9.99,9.99,117
1,1,8/13/2010,FALSE,9.99,9.99,103
1,1,8/20/2010,FALSE,9.99,9.99,105
1,1,8/27/2010,FALSE,9.99,9.99,105
1,1,9/3/2010,FALSE,9.99,9.99,108
1,1,9/10/2010,TRUE,9.99,9.99,121
1,1,9/17/2010,FALSE,9.99,9.99,129
1,1,9/24/2010,FALSE,9.99,9.99,121
1,1,10/1/2010,FALSE,9.99,9.99,134
1,1,10/8/2010,FALSE,9.99,9.99,156
1,1,10/15/2010,FALSE,9.99,9.99,180
1,1,10/22/2010,FALSE,9.99,9.99,170
1,1,10/29/2010,FALSE,9.99,9.99,257
1,1,11/5/2010,FALSE,9.99,9.99,228
1,1,11/12/2010,FALSE,9.99,9.99,130
1,1,11/19/2010,FALSE,9.99,9.99,131
1,1,11/26/2010,TRUE,9.99,9.99,125
1,1,12/3/2010,FALSE,9.99,9.99,150
1,1,12/10/2010,FALSE,9.99,9.99,210
1,1,12/17/2010,FALSE,9.99,9.99,299
1,1,12/24/2010,FALSE,9.99,9.99,373
1,1,12/31/2010,TRUE,9.99,9.99,127
1,1,1/7/2011,FALSE,10.99,10.99,93
1,1,1/14/2011,FALSE,10.99,10.99,100
1,1,1/21/2011,FALSE,10.99,10.99,100
1,1,1/28/2011,FALSE,10.99,10.99,107
1,1,2/4/2011,FALSE,10.99,8.79,185
1,1,2/11/2011,TRUE,10.99,8.79,323
1,1,2/18/2011,FALSE,10.99,8.79,399
1,1,2/25/2011,FALSE,10.99,8.79,165
1,1,3/4/2011,FALSE,10.99,10.99,117
1,1,3/11/2011,FALSE,10.99,10.99,123
1,1,3/18/2011,FALSE,10.99,10.99,117
1,1,3/25/2011,FALSE,10.99,10.99,121
1,1,4/1/2011,FALSE,10.99,10.99,118
1,1,4/8/2011,FALSE,10.99,10.99,138
1,1,4/15/2011,FALSE,10.99,10.99,166
1,1,4/22/2011,FALSE,10.99,10.99,292
1,1,4/29/2011,FALSE,10.99,10.99,240
1,1,5/6/2011,FALSE,10.99,8.79,171
1,1,5/13/2011,FALSE,10.99,8.79,147
1,1,5/20/2011,FALSE,10.99,8.79,129
